"ID";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"comentariodisc";"MATRICULA";"DISCIPLINA";"TURMA";"SITUACAO"
"50";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";;"217220656";"MAT223";"10100";"aprovado"
"51";"5";"5";"5";"4";"5";"5";"5";"5";"5";"4";"4";"3";;"217220656";"MAT198";"20200";"aprovado"
"52";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";;"214008846";"MAT223";"10100";"aprovado"
"53";"3";"5";"5";"2";"3";"2";"5";"3";"3";"4";"5";"1";;"214008846";"MATA03";"20000";"reprovadoNota"
"54";"5";"3";"5";"3";"3";"4";"4";"5";"5";"5";"2";"4";;"214008846";"MATA07";"130000";"aprovado"
"55";"5";"5";"5";"5";"3";"5";"4";"5";"5";"5";"1";"5";;"214008846";"MATD45";"100";"aprovado"
"56";"5";"4";"5";"5";"3";"4";"5";"3";"4";"5";"5";"3";;"217120022";"MATA02";"50000";"aprovado"
"57";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"5";"Professora com excelente didática. Muito atenciosa. Apresentou domínio sobre o assunto.   ";"218115650";"MATB59";"10100";"aprovado"
"58";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"Aulas excelentes. Nota-se que a professora tem vasto conhecimento sobre a matéria.
Lista de exercícios muito bem construída, pois continha quantidade aceitável de questões (é importante lembrar que o aluno tem outras matérias e listas para estudar, quesito muitas vezes esquecidos pelos docentes), e resolução de algumas. 
Além disso, a professora é simpática e preocupada com o aprendizado dos alunos.  ";"218115650";"MATA01";"70000";"aprovado"
"59";"3";"3";"2";"1";"2";"2";"3";"1";"5";"2";"4";"4";"Quadro confuso e desorganizado. Professor não falava com clareza enquanto ministrava aula. ";"218115650";"MATA02";"50000";"reprovadoNota"
"60";"1";"5";"2";"2";"1";"3";"4";"2";"4";"1";"4";"3";;"218115650";"MAT198";"20200";"reprovadoNota"
"61";"3";"5";"5";"1";"2";"2";"5";"2";"2";"2";"3";"5";;"201515298";"MATD44";"10000";"aprovado"
"62";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";;"201515298";"MATD45";"100";"aprovado"
